# Goxel 0.10.5
# One line per voxel
# X Y Z RRGGBB
4 7 0 ffffff
5 7 0 ffffff
6 7 0 ffffff
10 7 0 ffffff
11 7 0 ffffff
12 7 0 ffffff
4 8 0 ffffff
5 8 0 ffffff
6 8 0 ffffff
10 8 0 ffffff
11 8 0 ffffff
12 8 0 ffffff
4 9 0 ffffff
5 9 0 ffffff
6 9 0 ffffff
10 9 0 ffffff
11 9 0 ffffff
12 9 0 ffffff
4 8 1 808080
5 8 1 808080
6 8 1 808080
10 8 1 808080
11 8 1 808080
12 8 1 808080
4 9 1 808080
5 9 1 808080
6 9 1 808080
10 9 1 808080
11 9 1 808080
12 9 1 808080
4 8 2 000000
5 8 2 000000
6 8 2 000000
10 8 2 000000
11 8 2 000000
12 8 2 000000
4 9 2 000000
5 9 2 000000
6 9 2 000000
10 9 2 000000
11 9 2 000000
12 9 2 000000
4 7 3 ffffff
5 7 3 ffffff
6 7 3 ffffff
10 7 3 ffffff
11 7 3 ffffff
12 7 3 ffffff
4 8 3 ffffff
5 8 3 ffffff
6 8 3 ffffff
10 8 3 ffffff
11 8 3 ffffff
12 8 3 ffffff
4 9 3 ffffff
5 9 3 ffffff
6 9 3 ffffff
10 9 3 ffffff
11 9 3 ffffff
12 9 3 ffffff
4 7 4 ffffff
5 7 4 ffffff
6 7 4 ffffff
7 7 4 ffffff
8 7 4 ffffff
9 7 4 ffffff
10 7 4 ffffff
11 7 4 ffffff
12 7 4 ffffff
4 8 4 ffffff
5 8 4 ffffff
6 8 4 ffffff
7 8 4 ffffff
8 8 4 ffffff
9 8 4 ffffff
10 8 4 ffffff
11 8 4 ffffff
12 8 4 ffffff
14 8 4 808080
15 8 4 ffffff
4 9 4 ffffff
5 9 4 ffffff
6 9 4 ffffff
7 9 4 ffffff
8 9 4 ffffff
9 9 4 ffffff
10 9 4 ffffff
11 9 4 ffffff
12 9 4 ffffff
14 9 4 808080
15 9 4 ffffff
4 10 4 ffffff
5 10 4 ffffff
6 10 4 ffffff
7 10 4 ffffff
8 10 4 ffffff
9 10 4 ffffff
10 10 4 ffffff
11 10 4 ffffff
12 10 4 ffffff
4 7 5 000000
5 7 5 000000
6 7 5 000000
7 7 5 000000
8 7 5 000000
9 7 5 000000
10 7 5 000000
11 7 5 000000
12 7 5 000000
4 8 5 000000
5 8 5 808080
